Ищет работу на должность:,Последнее/нынешнее место работы,Последняя/нынешняя должность,Обновление резюме,Авто,Образование,Пол,Возраст,Опыт работы (месяц),Город,Готовность к переезду,Готовность к командировкам,Занятость_полная занятость,Занятость_частичная занятость,Занятость_проектная работа,Занятость_волонтерство,Занятость_стажировка,График_полный день,График_сменный график,График_гибкий график,График_удалённая работа,График_вахтовый метод,salary_value,salary_cur_name,salary_currency,date_x,date_y,exchange_rate,ЗП (руб)
Технический специалист,АО международный аэропорт Пермь,Оператор по наземному обслуживанию,2019-04-19,Не указано,среднее специальное,М,25,61.0,город-миллионник,True,False,True,False,False,False,False,True,True,True,False,True,40000.0,руб.,RUB,2019-04-19,,1.0,40000.0
SEO-специалист,Веб студия Ранг (Оренбург),SEO-оптимизатор,2019-04-17,Имеется собственный автомобиль,среднее специальное,М,27,87.0,другие,False,False,True,False,False,False,False,False,False,False,False,False,20000.0,руб.,RUB,2019-04-17,,1.0,20000.0
Комьюнити-менеджер,BitRewards,"Комьюнити-менеджер, райтер, переводчик",2019-04-13,Не указано,высшее,Ж,24,20.0,Санкт-Петербург,False,False,True,True,False,False,False,True,False,True,False,False,70000.0,руб.,RUB,2019-04-13,,1.0,70000.0
Региональный менеджер по продажам,"ООО ""Феликс""",Региональный менеджер по продажам,2019-04-17,Не указано,высшее,Ж,43,268.0,другие,False,False,True,False,False,False,False,True,False,False,False,False,40000.0,руб.,RUB,2019-04-17,,1.0,40000.0
Мастер по ремонту сотовых телефонов,Частная мастерская,Мастер по ремонту сотовых телефонов,2019-04-11,Не указано,среднее специальное,М,27,63.0,город-миллионник,True,True,True,False,False,False,False,True,False,False,False,False,30000.0,руб.,RUB,2019-04-11,,1.0,30000.0
Системный администратор,Государственная дума РФ,Помощник депутата,2019-04-20,Имеется собственный автомобиль,высшее,М,35,194.0,Москва,False,True,True,False,False,False,False,True,False,False,False,False,60000.0,руб.,RUB,2019-04-20,,1.0,60000.0
Технический специалист,"ООО ""Пакхим""",Торговый представитель,2019-05-07,Имеется собственный автомобиль,неоконченное высшее,М,33,126.0,Москва,False,True,True,False,False,False,False,True,True,False,False,False,45000.0,руб.,RUB,2019-05-07,,1.0,45000.0
Ведущий инженер связи,"Акционерное общество ""Нокиа Солюшнз энд Нетворкс""",Ведущий специалист по разрешительной деятельности,2019-04-26,Имеется собственный автомобиль,высшее,М,53,325.0,другие,True,True,True,False,False,False,False,True,False,False,False,False,85000.0,руб.,RUB,2019-04-26,,1.0,85000.0
Руководитель интернет-магазина,"ООО ""Лино Ру""",Управляющий магазином,2019-04-08,Не указано,высшее,М,35,141.0,Москва,False,True,True,False,False,False,False,True,True,True,False,False,75000.0,руб.,RUB,2019-04-08,,1.0,75000.0
Руководитель проектов,"ПРОДО Менеджмент, ООО",Руководитель проекта создание системы управления продажами,2019-05-07,Не указано,высшее,М,27,74.0,Москва,True,True,True,False,False,False,False,True,False,False,False,False,150000.0,руб.,RUB,2019-05-07,,1.0,150000.0
Руководитель отдела автоматизации(без командировок по РФ),Группа компаний «ДОНСТРОЙ»/«Инженерные коммуникации»,инженер-программист автоматизация,2019-04-26,Не указано,высшее,М,28,105.0,Москва,False,False,True,False,False,False,False,True,False,False,False,False,110000.0,руб.,RUB,2019-04-26,,1.0,110000.0
Менеджер проектов,"ООО""Спар-Томск""",Менеджер по продвижению,2019-04-22,Не указано,неоконченное высшее,Ж,23,30.0,другие,False,True,True,False,False,False,False,True,False,True,False,False,40000.0,руб.,RUB,2019-04-22,,1.0,40000.0
Менеджер интернет-магазина,ИП Лазарев Григорий Михайлович,Менеджер,2019-04-22,Не указано,высшее,М,33,56.0,Москва,False,True,True,False,False,False,False,True,False,False,False,False,50000.0,руб.,RUB,2019-04-22,,1.0,50000.0
"системный администратор, информационная безопасность","ООО ""Техкомплект""",Системный администратор,2019-04-10,Имеется собственный автомобиль,высшее,М,38,207.0,город-миллионник,False,True,True,True,False,False,False,True,False,True,False,False,55000.0,руб.,RUB,2019-04-10,,1.0,55000.0
Программист,Индивидуальное предпринимательство / частная практика / фриланс,Программист,2019-05-13,Не указано,высшее,М,24,38.0,другие,False,False,True,True,True,False,False,True,False,True,False,False,70000.0,руб.,RUB,2019-05-13,,1.0,70000.0
Диспетчер,Ростелеком,Рекламный агент,2019-05-07,Имеется собственный автомобиль,среднее специальное,Ж,46,303.0,другие,False,False,True,False,False,False,False,True,True,True,False,False,25000.0,руб.,RUB,2019-05-07,,1.0,25000.0
Специалист по ремонту бытовой техники,"АО ""Ральф Рингер""",Наладчик швейного оборудования 6 разряда,2019-05-07,Не указано,среднее специальное,М,36,96.0,другие,False,False,True,False,False,False,False,True,False,False,False,False,50000.0,руб.,RUB,2019-05-07,,1.0,50000.0
Трафик-менеджер,Индивидуальное предпринимательство / частная практика / фриланс,Менеджер по контекстной рекламе,2019-04-19,Не указано,высшее,М,23,65.0,Москва,False,True,False,True,True,False,False,False,False,False,False,False,40000.0,руб.,RUB,2019-04-19,,1.0,40000.0
Системный администратор,отдел Министерства Внутренних Дел России по г. Берёзовскому,Инженер-электроник,2019-04-12,Не указано,среднее специальное,М,46,149.0,другие,False,False,True,False,False,False,False,True,False,False,False,False,20000.0,руб.,RUB,2019-04-12,,1.0,20000.0
Дежурный администратор,"ООО ""Евротрейдинг""",начальник отдела доставки,2019-04-26,Не указано,среднее специальное,М,49,206.0,Санкт-Петербург,False,True,True,True,True,False,False,True,True,True,False,False,26000.0,руб.,RUB,2019-04-26,,1.0,26000.0
Руководитель проектов,ОМБ Медицинская компания,Руководитель проектов,2019-04-26,Не указано,высшее,М,39,180.0,Москва,True,True,True,False,False,False,False,True,False,False,False,False,170000.0,руб.,RUB,2019-04-26,,1.0,170000.0
Ведущий специалист,БАНК УРАЛСИБ,Ведущий специалист,2019-04-22,Не указано,среднее специальное,Ж,25,73.0,Санкт-Петербург,False,True,True,False,False,False,False,True,True,False,False,False,45000.0,руб.,RUB,2019-04-22,,1.0,45000.0
Программист,"ООО""ТД Молочный мир""",Торговый представитель,2019-04-12,Не указано,высшее,Ж,44,149.0,другие,True,True,True,False,False,False,False,True,True,False,False,False,50000.0,руб.,RUB,2019-04-12,,1.0,50000.0
Системный администратор,"ФКУ ""Налог-Сервис""",Системный администратор,2019-04-11,Не указано,среднее специальное,М,32,33.0,другие,True,True,True,False,False,False,False,True,True,False,False,False,35000.0,руб.,RUB,2019-04-11,,1.0,35000.0
Руководитель проектов,Ниндзя пицца,Су-шеф,2019-04-26,Имеется собственный автомобиль,среднее специальное,М,26,92.0,город-миллионник,True,False,True,False,False,False,False,True,False,False,False,False,40000.0,руб.,RUB,2019-04-26,,1.0,40000.0
"Верстальщик, руководитель отдела frontend",Green Light Studio,Руководитель отдела разработки,2019-05-07,Не указано,высшее,М,31,86.0,другие,True,False,True,True,True,False,False,True,False,True,False,False,50000.0,руб.,RUB,2019-05-07,,1.0,50000.0
"Руководитель проектов, инженер-проектировщик",Группа ГМС,Ведущий специалист,2019-04-09,Имеется собственный автомобиль,высшее,М,32,80.0,другие,False,True,True,False,True,False,False,True,False,False,False,False,80000.0,руб.,RUB,2019-04-09,,1.0,80000.0
Программист-разработчик,"ООО ""АПС""",Инженер,2019-04-12,Не указано,высшее,М,24,35.0,город-миллионник,True,True,True,False,False,False,False,True,False,False,False,False,30000.0,руб.,RUB,2019-04-12,,1.0,30000.0
"Специалист по ИБ, системный администратор",Отделение ПФР по Вологодской области,Ведущий специалист-эксперт отдела по защите информации,2019-04-11,Имеется собственный автомобиль,высшее,М,31,117.0,другие,False,True,True,False,False,False,False,True,False,False,False,False,40000.0,руб.,RUB,2019-04-11,,1.0,40000.0
Системный администратор,"Санкт-Петербургский государственный университет телекоммуникаций им. проф. М.А. Бонч-Бруевича, Санкт-Петербург",Санкт-Петербургский колледж телекоммуникаций,2019-04-14,Не указано,высшее,М,33,,Санкт-Петербург,False,False,True,False,False,False,False,False,False,True,False,False,10000.0,руб.,RUB,2019-04-14,,1.0,10000.0
"Системный администратор, руководитель ИТ отдела",ООО Сервионика,Инженер,2019-04-26,Имеется собственный автомобиль,высшее,М,37,174.0,другие,False,True,True,True,False,False,False,True,True,True,False,False,35000.0,руб.,RUB,2019-04-26,,1.0,35000.0
"Инженер, Системный администратор",Диалог-Конверсия,Сервисный инженер,2019-04-15,Не указано,высшее,М,37,174.0,Москва,False,True,True,True,False,False,False,True,True,False,False,False,50000.0,руб.,RUB,2019-04-15,,1.0,50000.0
Аналитик,ООО Баранцевское,Инженер по качеству,2019-04-26,Не указано,высшее,Ж,24,13.0,другие,False,True,True,False,False,False,False,True,False,False,False,False,25000.0,руб.,RUB,2019-04-26,,1.0,25000.0
Верстальщик,Бар-ресторан «Vittoria»,Бармен,2019-05-07,Не указано,высшее,М,27,93.0,другие,True,False,True,False,False,False,False,True,False,False,False,False,25000.0,руб.,RUB,2019-05-07,,1.0,25000.0
Руководитель проекта,ООО «Явара Строй»,Генеральный  директор,2019-04-12,Имеется собственный автомобиль,высшее,М,48,360.0,другие,True,True,True,False,False,False,False,True,False,False,False,False,70000.0,руб.,RUB,2019-04-12,,1.0,70000.0
Программист 1С 8,Комплексное сопровождение клиентов по автоматизации,Программист 1С,2019-05-07,Не указано,высшее,М,35,194.0,Москва,False,False,False,True,True,False,False,False,False,True,False,False,1800.0,руб.,RUB,2019-05-07,,1.0,1800.0
Web-программист (Junior),Kwork,Фриланс,2019-04-19,Не указано,среднее специальное,М,26,60.0,другие,True,True,True,False,False,False,True,True,True,True,False,False,20000.0,руб.,RUB,2019-04-19,,1.0,20000.0
Технический специалист / Системный администратор,Инфосистемы Джет,Тренинг-менеджер,2019-05-07,Имеется собственный автомобиль,высшее,М,26,115.0,Москва,True,True,True,True,True,False,False,True,True,True,False,False,65000.0,руб.,RUB,2019-05-07,,1.0,65000.0
Начальник IT отдела,000 ПС Климат,Начальник информационно-аналитического отдела,2019-04-20,Имеется собственный автомобиль,высшее,М,54,225.0,другие,True,True,True,False,False,False,False,True,False,True,False,False,110000.0,руб.,RUB,2019-04-20,,1.0,110000.0
Начальник отдела,Дирекция Универсиады 2019 в г.Красноярске,Главный специалист по безопасности,2019-04-22,Не указано,высшее,М,26,46.0,город-миллионник,False,True,True,False,False,False,False,True,False,False,False,False,40000.0,руб.,RUB,2019-04-22,,1.0,40000.0
Региональный представитель/Технический директор (CTO),eastconsult LLC,Project Director,2019-05-07,Имеется собственный автомобиль,высшее,М,44,233.0,другие,True,True,True,False,False,False,False,True,False,False,False,False,180000.0,руб.,RUB,2019-05-07,,1.0,180000.0
Системный администратор,Beluga Group,"Системный администратор, IT-специалист",2019-04-11,Имеется собственный автомобиль,среднее специальное,М,26,67.0,другие,False,True,True,False,False,False,False,True,False,False,False,False,70000.0,руб.,RUB,2019-04-11,,1.0,70000.0
Системный администратор,Оск инфо транс,Старший специалист,2019-04-11,Не указано,среднее специальное,М,22,29.0,Санкт-Петербург,False,True,True,True,False,False,False,True,True,True,False,False,60000.0,руб.,RUB,2019-04-11,,1.0,60000.0
Менеджер проекта,Тандер,Менеджер проектов,2019-04-17,Не указано,среднее специальное,М,33,154.0,другие,False,True,True,False,False,False,False,True,False,False,False,False,50000.0,руб.,RUB,2019-04-17,,1.0,50000.0
R&D-manager,Инвестиционный холдинг  AD.ru,Руководитель отдела перспективных разработок,2019-04-22,Не указано,высшее,М,30,128.0,Москва,False,True,True,False,False,False,False,True,False,False,False,False,120000.0,руб.,RUB,2019-04-22,,1.0,120000.0
Менеджер интернет-проектов,AWEB SYSTEM,Менеджер интернет-проектов,2019-04-22,Не указано,высшее,М,25,79.0,Москва,False,True,True,False,False,False,False,True,True,False,False,False,50000.0,руб.,RUB,2019-04-22,,1.0,50000.0
"Системный администратор, веб-программист",Sailet,Менеджер по управлению проектами,2019-04-22,Не указано,неоконченное высшее,М,20,23.0,другие,False,True,True,False,False,False,False,True,False,False,False,False,160000.0,KZT,KZT,2019-04-22,2019-04-22,0.16868,26988.8
Специалист-кассир офиса обслуживания,"ГАУ ""КЦСОН Талицкого района""",Системный администратор,2019-04-12,Не указано,высшее,Ж,32,80.0,другие,False,True,True,False,False,False,False,True,False,False,False,False,15000.0,руб.,RUB,2019-04-12,,1.0,15000.0
Сборщик пк (подработка),ГК «ТРАССА»,Начальник смены,2019-05-07,Не указано,высшее,М,29,107.0,другие,False,True,False,True,True,False,True,False,True,True,False,False,35000.0,руб.,RUB,2019-05-07,,1.0,35000.0
Архитектор ПО / Ведущий Разработчик,Luxoft,Senior Developer (JavaScript),2019-04-26,Не указано,высшее,М,38,200.0,Санкт-Петербург,False,True,True,False,False,False,False,True,False,True,False,False,250000.0,руб.,RUB,2019-04-26,,1.0,250000.0
Программист 1C,"Московский финансово-промышленный университет ""Синергия""",Программист 1с,2019-04-11,Не указано,высшее,М,38,157.0,Москва,False,True,True,False,False,False,False,True,False,False,False,False,139999.0,руб.,RUB,2019-04-11,,1.0,139999.0
Руководитель проектов,Ростелеком,директор по работе с массовым сегментом,2019-04-11,Имеется собственный автомобиль,высшее,М,37,186.0,Москва,True,True,True,False,False,False,False,True,False,False,False,False,130000.0,руб.,RUB,2019-04-11,,1.0,130000.0
аналитик/программист/технолог,"Газпромбанк,ОАО, филиал в г.Уфа",главный специалист,2019-04-11,Не указано,высшее,М,39,172.0,город-миллионник,False,True,True,False,False,False,False,True,False,False,False,False,100000.0,руб.,RUB,2019-04-11,,1.0,100000.0
Инженер,"ЭР-Телеком Холдинг, ЗАО",Инженер,2019-04-09,Имеется собственный автомобиль,высшее,М,23,10.0,другие,True,True,True,False,False,False,False,True,False,False,False,False,30000.0,руб.,RUB,2019-04-09,,1.0,30000.0
Главный инженер проекта,"ООО ""Локальные сети""",Главный инженер,2019-04-16,Не указано,высшее,М,29,125.0,Москва,True,True,True,True,True,False,False,True,True,True,False,True,180000.0,руб.,RUB,2019-04-16,,1.0,180000.0
Руководитель проекта,Softline,Information security advisor,2019-05-14,Имеется собственный автомобиль,высшее,М,40,105.0,Москва,True,True,True,False,False,False,False,True,False,False,False,False,150000.0,руб.,RUB,2019-05-14,,1.0,150000.0
Программист С++,Design Dossier,Программист,2019-04-22,Не указано,неоконченное высшее,М,22,14.0,Москва,False,True,False,True,True,False,False,False,False,True,False,False,100000.0,руб.,RUB,2019-04-22,,1.0,100000.0
Специалист технической поддержки,Валента (Отечественные Лекарства),Инженер технической поддержки,2019-04-15,Не указано,высшее,М,31,102.0,Москва,True,True,True,False,False,False,False,True,False,False,False,False,80000.0,руб.,RUB,2019-04-15,,1.0,80000.0
Ведущий инженер сетей передачи данных,"КантриКом, АО",Старший сетевой инженер,2019-04-17,Не указано,высшее,М,39,209.0,Москва,False,True,True,False,False,False,False,True,False,False,False,False,140000.0,руб.,RUB,2019-04-17,,1.0,140000.0
Технический писатель,Miniapps.pro,Ассистент менеджера по развитию компании,2019-04-26,Не указано,высшее,М,44,148.0,город-миллионник,False,True,True,True,True,False,False,True,False,True,False,False,40000.0,руб.,RUB,2019-04-26,,1.0,40000.0
Специалист технической поддержки,"ООО ""Компания ВИК""",Помощник оператора автоматических и полуавтоматических линий,2019-04-12,Не указано,высшее,М,33,149.0,другие,False,True,True,False,False,False,True,True,True,False,False,False,25000.0,руб.,RUB,2019-04-12,,1.0,25000.0
Менеджер по развитию,Альфа-Банк (Россия),Специалист,2019-05-07,Имеется собственный автомобиль,высшее,М,23,25.0,город-миллионник,False,False,True,False,False,False,False,True,False,False,False,False,40000.0,руб.,RUB,2019-05-07,,1.0,40000.0
Технический специалист,БАНК УРАЛСИБ,Специалист отдела Финансовыйнсового мониторинга,2019-04-19,Не указано,высшее,Ж,29,101.0,город-миллионник,True,True,True,True,True,False,False,True,True,True,False,True,50000.0,руб.,RUB,2019-04-19,,1.0,50000.0
Системный администратор Windows,tvoeinua,Системный администратор,2019-04-19,Не указано,высшее,М,38,112.0,Москва,False,False,True,False,False,False,False,True,False,False,False,False,90000.0,руб.,RUB,2019-04-19,,1.0,90000.0
"Инженер ИТ, АСУТП","ЗАО «Лесозавод 25""",Инженер АСУ,2019-04-22,Имеется собственный автомобиль,высшее,М,29,104.0,другие,True,True,True,True,False,False,True,True,False,False,False,False,60000.0,руб.,RUB,2019-04-22,,1.0,60000.0
Web-дизайнер,СТД,Дизайнер,2019-04-12,Не указано,высшее,Ж,38,105.0,город-миллионник,False,True,True,True,False,False,False,True,True,True,False,False,30000.0,руб.,RUB,2019-04-12,,1.0,30000.0
Менеджер проектов,АО «ПФ «СКБ Контур»,Менеджер по работе с ключевыми клиентами,2019-04-18,Не указано,высшее,Ж,36,174.0,Москва,False,True,True,False,False,False,False,True,False,False,False,False,140000.0,руб.,RUB,2019-04-18,,1.0,140000.0
"Cистемный администратор, IT-специалист, инженер",ООО ШНАЙДЕР ГРУПП,Специалист группы Service Desk,2019-04-18,Не указано,высшее,М,26,51.0,Москва,False,True,True,False,False,False,False,True,False,True,False,False,65000.0,руб.,RUB,2019-04-18,,1.0,65000.0
Junior C/C++,ООО ЦЛИТ,Младший научный сотрудник,2019-04-15,Не указано,высшее,М,30,78.0,Москва,False,True,True,True,True,False,True,True,True,True,False,False,40000.0,руб.,RUB,2019-04-15,,1.0,40000.0
Веб-разработчик,"ООО ""Нефабрика""",Веб-разработчик,2019-04-22,Имеется собственный автомобиль,среднее специальное,М,21,6.0,город-миллионник,True,True,True,False,False,False,False,True,False,True,False,False,60000.0,руб.,RUB,2019-04-22,,1.0,60000.0
Web-программист,Курганский государственный университет,IT директор,2019-05-07,Имеется собственный автомобиль,высшее,М,31,128.0,другие,False,True,True,False,False,False,False,False,False,False,False,False,70000.0,руб.,RUB,2019-05-07,,1.0,70000.0
IT Operations Coordinator,Тоталь Разведка Разработка Россия (TOTAL E&P RUSSIE),IT Operations Coordinator,2019-04-22,Имеется собственный автомобиль,неоконченное высшее,М,32,143.0,Москва,True,True,True,True,True,False,False,True,True,True,False,True,130000.0,руб.,RUB,2019-04-22,,1.0,130000.0
QA Automation Engineer,Vox Markets,Senior QA Analyst,2019-05-07,Не указано,высшее,М,29,165.0,Москва,True,True,True,True,True,False,False,True,False,False,False,False,350000.0,руб.,RUB,2019-05-07,,1.0,350000.0
Руководитель ИТ-отдела,"ООО ""Угольная компания Бурятии""",Руководитель ИТ-отдела,2019-05-10,Имеется собственный автомобиль,высшее,М,32,98.0,другие,False,True,True,False,False,False,False,True,False,False,False,False,70000.0,руб.,RUB,2019-05-10,,1.0,70000.0
